model,layer,n_layers,layer_frac,roi,rsa_mean,rsa_sem,noise_ceiling,rsa_noise_corrected
ast,0,13,0.0,AllROI,0.08798493332183589,0.015064113845191494,0.7587117536933498,0.11596621891453782
ast,1,13,0.08333333333333333,AllROI,0.2429158191421378,0.011048438345864945,0.7587117536933498,0.32016878341431054
ast,2,13,0.16666666666666666,AllROI,0.2671366441359754,0.010329028255048342,0.7587117536933498,0.3520924024645394
ast,3,13,0.25,AllROI,0.2913777243856536,0.012591369085184233,0.7587117536933498,0.3840427184200713
ast,4,13,0.3333333333333333,AllROI,0.26009228418551866,0.01258147853347379,0.7587117536933498,0.3428077697747658
ast,5,13,0.4166666666666667,AllROI,0.3376486117598269,0.0111484310231199,0.7587117536933498,0.4450288401572531
ast,6,13,0.5,AllROI,0.3188049923793012,0.012701596347739355,0.7587117536933498,0.4201925050289301
ast,7,13,0.5833333333333334,AllROI,0.21851324996155913,0.011561685971663386,0.7587117536933498,0.2880056212360671
ast,8,13,0.6666666666666666,AllROI,0.20441037972738818,0.011190649227924416,0.7587117536933498,0.2694177053832821
ast,9,13,0.75,AllROI,0.21218483511786193,0.00929961409167892,0.7587117536933498,0.2796646210961708
ast,10,13,0.8333333333333334,AllROI,0.2061297290543089,0.011296996087473943,0.7587117536933498,0.27168384837968496
ast,11,13,0.9166666666666666,AllROI,0.1799034451637761,0.012872142907820726,0.7587117536933498,0.23711698716676013
ast,12,13,1.0,AllROI,0.19058641663811732,0.012237152183370417,0.7587117536933498,0.2511973957307996
hubert,0,25,0.0,AllROI,0.19394697441042527,0.026413800074410604,0.7587117536933498,0.2556266901973068
hubert,1,25,0.041666666666666664,AllROI,0.23901083917325489,0.023900945098433525,0.7587117536933498,0.315021927642176
hubert,2,25,0.08333333333333333,AllROI,0.2869063924134758,0.023436713033035777,0.7587117536933498,0.3781493973394215
hubert,3,25,0.125,AllROI,0.33451927106819046,0.02195193224108498,0.7587117536933498,0.44090429526071884
hubert,4,25,0.16666666666666666,AllROI,0.3720210882250062,0.020858235957076567,0.7587117536933498,0.4903325754662907
hubert,5,25,0.20833333333333334,AllROI,0.37800552312993296,0.020337333507855104,0.7587117536933498,0.49822020192758515
hubert,6,25,0.25,AllROI,0.3785374662211106,0.019883979636692677,0.7587117536933498,0.498921315477742
hubert,7,25,0.2916666666666667,AllROI,0.373696064642568,0.018487548449039482,0.7587117536933498,0.4925402339207804
hubert,8,25,0.3333333333333333,AllROI,0.37610989520924654,0.0186090290989291,0.7587117536933498,0.4957217195837192
hubert,9,25,0.375,AllROI,0.37103321694113633,0.018777608998542535,0.7587117536933498,0.48903053779643657
hubert,10,25,0.4166666666666667,AllROI,0.3781709449874253,0.01975444419026578,0.7587117536933498,0.49843823184037755
hubert,11,25,0.4583333333333333,AllROI,0.3655064584191429,0.02013328626302279,0.7587117536933498,0.48174613961084156
hubert,12,25,0.5,AllROI,0.35380695005279683,0.02003840363638828,0.7587117536933498,0.46632591142880303
hubert,13,25,0.5416666666666666,AllROI,0.36375401884212316,0.020606028175021114,0.7587117536933498,0.4794363828837459
hubert,14,25,0.5833333333333334,AllROI,0.3695676881387976,0.020288665964007697,0.7587117536933498,0.48709893624261236
hubert,15,25,0.625,AllROI,0.3659378133213509,0.020605529854912385,0.7587117536933498,0.48231467555365276
hubert,16,25,0.6666666666666666,AllROI,0.35826631495641925,0.021006452975674425,0.7587117536933498,0.47220345963062615
hubert,17,25,0.7083333333333334,AllROI,0.36337062206161985,0.02178983385924264,0.7587117536933498,0.478931056877345
