model,rsa_mean,rsa_sem,rsa_noise_corrected,embedding_dim
wavlm,0.39888958939183033,0.015460198574371423,0.525745894208264,768
hubert,0.36061447883419867,0.017675059669258506,0.47529839504759935,1024
whisper,0.29828909956076677,0.021832176908528796,0.39315207403696945,512
wav2vec2,0.25165533013418423,0.018442643532810565,0.33168766518924436,1024
ast,0.1601295445429218,0.01813568815500945,0.21105451940532574,768
